created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,ADC,Pressure_hpa,IAQ,PM2.5_ATM_ug/m3
2021-01-01 00:00:00 UTC,22.94,48.56,55.89,17856,0.02,1005.67,,43.71
2021-01-01 00:10:00 UTC,22.43,48.15,55.14,17889.6,0.02,1005.78,,43.58
2021-01-01 00:20:00 UTC,24.61,51.37,58.44,17766.4,0.02,1005.72,,45.45
2021-01-01 00:30:00 UTC,25.9,53.38,62.3,18024,0.02,1005.68,,46.62
2021-01-01 00:40:00 UTC,29.24,58.99,68.48,17990.4,0.02,1005.66,,49.65
2021-01-01 00:50:00 UTC,32.36,63.48,73.41,17996.8,0.02,1005.73,,52.12
2021-01-01 01:00:00 UTC,28.2,55.21,63.9,17608,0.02,1005.73,,47.69
2021-01-01 01:10:00 UTC,27.59,51.8,59.02,17956.8,0.02,1005.56,,45.9
2021-01-01 01:20:00 UTC,25.69,49.97,58.45,17934.4,0.02,1005.54,,44.96
2021-01-01 01:30:00 UTC,26.64,52.5,59.55,18024,0.02,1005.64,,46.42
2021-01-01 01:40:00 UTC,38.09,76.26,90.68,18158.4,0.02,1005.68,,60.36
2021-01-01 01:50:00 UTC,26.31,51.65,60.06,18024,0.02,1005.68,,45.74
2021-01-01 02:00:00 UTC,30.6,57.9,66.85,17990.4,0.02,1005.79,,49.18
2021-01-01 02:10:00 UTC,41.54,76.87,87.01,18024,0.02,1005.98,,58.65
2021-01-01 02:20:00 UTC,37.02,69.3,79.21,17956.8,0.02,1005.74,,55
2021-01-01 02:30:00 UTC,37.52,72.15,83.63,17078.4,0.02,1005.75,,56.67
2021-01-01 02:40:00 UTC,36.9,71.33,82.21,17990.4,0.02,1005.73,,56.26
2021-01-01 02:50:00 UTC,38.36,73.68,84.4,17923.2,0.02,1005.71,,56.98
2021-01-01 03:00:00 UTC,35.27,68.08,78.18,18057.6,0.02,1005.4,,54.67
2021-01-01 03:10:00 UTC,34.21,67.53,76.78,17889.6,0.02,1005.53,,54.42
2021-01-01 03:20:00 UTC,38.11,74.08,85.6,17956.8,0.02,1005.79,,57.22
2021-01-01 03:30:00 UTC,38.02,74.17,86.35,18057.6,0.02,1006.11,,57.19
2021-01-01 03:40:00 UTC,35.78,70.84,82.04,18030.4,0.02,1005.95,,55.72
2021-01-01 03:50:00 UTC,36.97,72.23,84.05,18057.6,0.02,1005.12,,56.26
2021-01-01 04:00:00 UTC,36.35,71.33,82.43,18057.6,0.02,1005.64,,55.79
2021-01-01 04:10:00 UTC,33.34,67.68,77.34,18124.8,0.02,1005.6,,54.2
2021-01-01 04:20:00 UTC,53.48,100.42,116.18,17923.2,0.02,1005.53,,72.25
2021-01-01 04:30:00 UTC,40.24,76.4,88.09,18091.2,0.02,1005.65,,57.44
2021-01-01 04:40:00 UTC,28.86,58.99,66.57,18057.6,0.02,1005.63,,49.6
2021-01-01 04:50:00 UTC,23.5,47.02,54.71,18003.2,0.02,1005.64,,42.24
2021-01-01 05:00:00 UTC,17.55,36.84,42.76,18024,0.02,1005.26,,36.22
2021-01-01 05:10:00 UTC,19.98,40.05,46.04,17990.4,0.02,1005.69,,38.76
2021-01-01 05:20:00 UTC,19.85,40.07,46.33,17856,0.02,1005.67,,38.79
2021-01-01 05:30:00 UTC,19.57,39.09,45.95,17923.2,0.02,1005.62,,37.88
2021-01-01 05:40:00 UTC,19.68,40.61,46.87,17889.6,0.02,1005.91,,39.02
2021-01-01 05:50:00 UTC,20.17,41.3,47.08,17889.6,0.02,1006.02,,39.49
2021-01-01 06:00:00 UTC,22.93,44.18,50.79,17856,0.02,1005.88,,41.3
2021-01-01 06:10:00 UTC,20.67,42.4,48.61,18001.6,0.02,1005.63,,40.21
